dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_2.5b,1.0164601126633122,1.0164601126633122,0.5491218868621999,1.3616882953411822,3.098137910487288,0.810768253316403,14.14088926538678,1.008196465309868,1.0592363694984874,0.576921159581041,0.4758349228145527,Database,59
ds-1621-D/Long/short,toto_2.0_2.5b,1.072370849609375,1.072370849609375,0.4309564208984375,0.5382994807100462,0.8695147298177084,0.8421695770008771,7.021433596945763,1.035553402586933,1.9169322845751908,0.7977514963510907,0.6453083536293344,Application Usage,100
ds-1622-D/Long/short,toto_2.0_2.5b,0.5657000829303075,0.5657000829303075,0.2616402762276785,0.7180491299789507,0.5477095346602182,0.4637292389184799,8.43462068758003,0.7521303629892278,1.8249146033623704,0.6348250042958224,0.530741498454046,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_2.5b,1.8198638916015624,1.8198638916015624,0.8665777842203776,1.0567239538797717,2.57454350789388,1.0552231546901305,11.224199123776422,1.3490233102513691,1.351313955385245,0.8680492355803836,0.6822794531066437,Application Usage,8
ds-1626-D/Long/short,toto_2.0_2.5b,0.0277424355347951,0.0277424355347951,0.0331891854604085,0.1767627328525224,0.0665853977203369,0.107711619735586,11.210513218682312,0.1665606061912453,1.369295979029062,0.2728485398642593,0.4415996286851318,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_2.5b,2.866451609406795e-07,2.866451609406795e-07,0.0004214847770829,0.001276977671397,0.0010721230258544,0.0010717371065872,0.0841886182809655,0.0005353925297766,0.001361939800253,0.0010721794966948,0.001550016337542,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_2.5b,1.0610928133598665,1.0610928133598665,0.673939370209316,2.73305531228869,1.7798100309551887,0.8098579448093772,22.738902817408327,1.0300935944659917,0.8688084578713359,0.5684184700069661,0.4559188496609582,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_2.5b,0.3232097307840983,0.3232097307840983,0.4135141372680664,1.5263520338251704,1.3161444346110025,0.9464777256918536,16.70141456957766,0.56851537427241,1.1429002266885753,0.8312974857143441,0.7665903701776805,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_2.5b,1.3500801086425782,1.3500801086425782,0.901342264811198,3.0734916051544103,1.1223983764648438,1.7661693632265336,28.605210655783015,1.1619294766217865,1.258994845975313,0.976638676175346,0.8359119033959586,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_2.5b,0.33820374806722,0.33820374806722,0.4616439819335937,1.4751626960247315,0.40353577931722,0.3119651142062053,24.224891271311076,0.5815528764155673,0.3776104052666,0.2997518852993588,0.3238538825170736,Infrastructure,2
ds-1641-30T/Short/short,toto_2.0_2.5b,4.0851100803336435e-22,4.0851100803336435e-22,9.786949028978142e-12,,0.0,0.8666666666666667,,2.0211655252189623e-11,3.5667626915628745e-11,1.7271086521726134e-11,2.6580926220825918e-11,Application Usage,30
ds-1642-30T/Short/short,toto_2.0_2.5b,4.0851100803336435e-22,4.0851100803336435e-22,9.786949028978142e-12,,0.0,0.8666666666666667,,2.0211655252189623e-11,3.5667626915628745e-11,1.7271086521726134e-11,2.6580926220825918e-11,Application Usage,30
ds-1643-30T/Short/short,toto_2.0_2.5b,2.5139138955899344e-22,2.5139138955899344e-22,6.022737863986549e-12,,0.0,0.5333333333333333,,1.5855326851219228e-11,2.1620900251662584e-11,8.212824359981658e-12,1.2639881000113028e-11,Application Usage,30
ds-1646-D/Long/short,toto_2.0_2.5b,0.9408461252848308,0.9408461252848308,0.8515206019083659,2.2359389522287305,0.8274238586425782,0.930882804988747,21.188757257343163,0.9699722291307266,0.772644621570414,0.6782903607565345,0.5558464454509942,Infrastructure,1
ds-1647-D/Long/short,toto_2.0_2.5b,0.0001470348642518,0.0001470348642518,0.0086580236752827,0.0477775712044768,0.1043710629145304,0.0955275835299735,0.4286555097272616,0.0121257933452542,0.1272834611471326,0.0908825665015244,0.0756136553828015,Infrastructure,1
ds-1653-D/Long/short,toto_2.0_2.5b,0.0007534878949324,0.0007534878949324,0.0115527689456939,0.0495677172429423,0.321697203318278,0.1260102743808826,1.0670705936277438,0.0274497339683361,0.2304858326609014,0.0970045674416667,0.096399792777805,"Database, Application Usage",1
ds-1654-D/Long/short,toto_2.0_2.5b,1.115761439005534,1.115761439005534,0.5000684420267741,1.1447814667650715,1.2027721405029297,0.8146679395762787,13.526520401898058,1.0562960943814637,1.686820190866399,0.7985692168253352,0.6720990622742627,"Database, Application Usage",1
ds-1656-D/Long/short,toto_2.0_2.5b,3.9816408793131512,3.9816408793131512,0.8463652928670248,3.520869566769582,10.136092122395834,1.0539289518912172,54.12866521383565,1.995404941186914,2.2453997912032673,0.9524023984599786,0.8351196196355909,"Database, Application Usage",1
ds-1665-D/Long/short,toto_2.0_2.5b,0.325070063273112,0.325070063273112,0.5027433077494303,1.2756507521006737,2.6965845743815104,1.6173732393657003,10.232638231255615,0.5701491587936546,1.7012850532919834,1.500150727094604,0.9817823101964372,Database,1
ds-1666-D/Long/short,toto_2.0_2.5b,0.3251610438028971,0.3251610438028971,0.5028130849202473,1.2758471009339245,2.695691426595052,1.6173776470985706,10.2337907958196,0.5702289398153141,1.7012397419148697,1.5001090668919577,0.981753098746328,Database,1
ds-1667-D/Long/short,toto_2.0_2.5b,3.7919921875,3.7919921875,1.5860074361165364,4.102422100643247,27.453983561197916,1.2469306502681017,20.554251341924022,1.9473038251644248,1.9044389824514192,1.551095596262757,1.166798275301674,Application Usage,1
ds-1668-D/Long/short,toto_2.0_2.5b,0.2685955047607422,0.2685955047607422,0.4385652224222819,1.4011874471862238,1.5265978495279948,0.6270898039872956,8.954463723222032,0.5182620039716805,0.8066755525364293,0.6826273977439564,0.4645590035122074,Application Usage,4
ds-1671-D/Long/short,toto_2.0_2.5b,0.9710751215616862,0.9710751215616862,0.7409075419108073,7.728489711615127,0.4893142700195312,0.8193368622052708,79.34849954147688,0.9854314393004144,0.9857772119087328,0.7411675148760205,0.6881609864232019,Database,1
ds-1674-D/Long/short,toto_2.0_2.5b,3.6129445393880206,3.6129445393880206,1.022230656941732,8.914088003645505,0.4149791081746419,0.6640466205995927,234.83993219261325,1.9007747208409576,1.4650353483734553,0.7878913951191822,0.7419234014588783,Database,2
ds-1679-D/Long/short,toto_2.0_2.5b,0.2344936794704861,0.2344936794704861,0.2562269045982832,2.114061939117327,1.0695784957320602,0.5823889683780266,41.90484439728094,0.484245474393397,0.8305722484602475,0.4394774293653311,0.3900890151269808,Database,54
