,abs_error,mean_wQuantileLoss,MASE
0,340433.3466796875,0.018649601447036035,0.36626134140293193
1,619730.7241210938,0.026086494431742217,0.6352369747671931
2,694462.4311523438,0.03481788895652572,0.5737374672189025
3,333572.5368652344,0.01569865964454997,0.33714568863356825
4,304829.0358886719,0.01672794724114951,0.2877964073450125
5,428197.767578125,0.02319112961703398,0.598468399733587
6,315979.09130859375,0.01639353182638944,0.347762957435019
7,284746.8623046875,0.013725112629113596,0.28901930279874494
8,371868.4807128906,0.01763302227091136,0.40269075072103516
9,439674.892578125,0.024786921269074617,0.5393183656214678
