,abs_error,mean_wQuantileLoss,MASE
0,1474773.17578125,0.019375852204313367,0.429142566291609
1,1147734.0166015625,0.01595747997047413,0.36378506507365344
2,980375.12890625,0.01365743612681605,0.3330478320559575
3,1475650.53515625,0.020505314018989258,0.47629297674069165
4,1724064.4765625,0.022701717209384825,0.48041459274694204
5,1386098.10546875,0.019539575920685778,0.5093347522682502
6,1823991.66015625,0.026406245600671018,0.8051788527999659
7,1576635.35546875,0.02226933119056188,0.6464142617062283
8,1213762.37890625,0.01672254509766503,0.3735397909371245
9,1082476.0625,0.015395636824341261,0.4057130124596385
