dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_313m,1.0039687334480931,1.0039687334480931,0.539946406305173,1.3639218472908088,2.9798146738170903,0.8097671207555911,15.765324596128314,1.0019824017656662,1.0527077192454135,0.5672811707018477,0.4754814037793253,Database,59
ds-1621-D/Long/short,toto_2.0_313m,1.07397021484375,1.07397021484375,0.4306671549479167,0.5394177941723626,0.9193805338541666,0.841110621348359,6.93414869500178,1.036325342179641,1.9183612364025977,0.7972160307362837,0.6474446911625619,Application Usage,100
ds-1622-D/Long/short,toto_2.0_313m,0.541718255905878,0.541718255905878,0.2637844509548611,0.7484158179873639,0.634717765687004,0.5038648895636721,7.975124924907754,0.7360151193459805,1.7858137441118234,0.6400274744583679,0.532422667532811,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_313m,1.6950066884358723,1.6950066884358723,0.8432851155598958,1.031390003365678,2.5212303161621095,1.095168953335759,11.310398058093757,1.3019242253049417,1.3041348960685284,0.8447170159071679,0.6712926386729744,Application Usage,8
ds-1626-D/Long/short,toto_2.0_313m,0.0278099079926808,0.0278099079926808,0.0336482564608256,0.1792077094692136,0.0702659130096435,0.098880715544875,9.742470095550964,0.1667630294540155,1.370960102173853,0.2766225659640334,0.3637627046766366,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_313m,4.780844543953814e-07,4.780844543953814e-07,0.0005797461296121,0.0017477995593584,0.0014744559302926,0.0014759711363299,0.0205936117488897,0.0006914365150868,0.0017588869042266,0.0014747671737048,0.0013716650968188,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_313m,1.0387983214180423,1.0387983214180423,0.6640166660524764,2.7399661557584594,1.7152994791666667,0.7956186442531082,23.30809189436254,1.0192145610312102,0.859632790424823,0.5600493962230577,0.4491711852799512,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_313m,0.3065987269083658,0.3065987269083658,0.394820753733317,1.4573516835510243,1.1913453420003255,0.9117487615237546,14.200433439762955,0.5537135784034611,1.113143817944713,0.7937177240292989,0.7202850273783552,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_313m,1.449626922607422,1.449626922607422,0.93739439646403,3.196426205710297,0.9807874043782552,1.812794734370965,26.133999955047376,1.204004535957993,1.3045847754109638,1.015702534051906,0.8699771292214762,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_313m,0.4346151987711588,0.4346151987711588,0.5487973531087239,1.7609231183139429,0.4741814295450846,0.3948358279678604,29.585902722566846,0.6592535163130788,0.4280625160050348,0.3563417864836398,0.3660055009639961,Infrastructure,2
