dataset,model,checkpoint,context_length,num_samples,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/MAAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-10-T/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,6101.938888888889,3.18551071729787e-07,0.00048335945164715803,0.002186729495097267,0.0006219690044720967,0.000621968838903639,0.0006222312097196225,1.6189996506396553,78.11490823708935,100.51536992173199,0.0006219690348994251,0.0022188134430411554,['Infrastructure'],1
ds-1800-H/Medium/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,289.83472222222224,0.5902189466688368,0.6249779595269097,1.1742026232729426,3.651027086046007,0.5970087263319227,0.8081273396809896,8.478942364278483,17.02453295166191,17.31891910613216,0.6357850024370548,0.4858131166159771,['Application Usage'],1
ds-437-10S/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,974.1976388888888,2.398879506573495e-07,0.0004061674409442478,0.01104377227123284,0.022056655883789064,0.022047886318630642,0.02171349419487847,7.906749010010233,31.212139287285144,1694.9545968169243,0.02205665445643665,0.08394564538895312,['Infrastructure'],1
ds-1585-10S/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,485.90965277777775,1.0353107367621528,0.4646722412109375,0.60018898054968,1.550600857204861,0.4191928439670139,0.6726418728298611,10.987652929553187,22.043358473195,35.90135187923882,0.7567976386408798,0.7200993830411275,['Application Usage'],2
ds-2788-30T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,8288.55,1.723358420551651e-06,0.0008795114027129279,0.008240374408501602,0.0171399195988973,0.017125945621066622,0.017047956254747178,14.964802843211237,91.04147406539505,1762.2782420568244,0.017024590435877018,0.05874157492495215,['Application Usage'],1
ds-588-5T/Short/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.24220261573791504,0.11422011057535807,0.04416918357213338,0.25930402717938095,5.090375264485677,0.46368420918782555,0.5215438842773438,3.6473293824977873,0.492140849491195,5.647493752713552,0.5068573123811463,0.4185877666054725,['Infrastructure'],4
ds-951-5T/Short/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,1.5205354817708334,0.41527130126953127,0.042632102966308594,0.23553553530156773,0.18391443888346354,0.038828981187608504,0.05314047071668837,9.12717767335591,1.2330999480053648,7.953934904704351,0.27499228460205605,0.2743749224011349,['Application Usage'],15
ds-1826-H/Medium/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.034981666189251526,0.022037899855411415,0.09433252161199396,0.2692303208969448,0.3426559910629735,0.1991889693520286,0.20324087142944336,3.8491818637743753,0.18703386374999456,0.4036356442589214,0.20357793702172244,0.17602061353268625,['Database'],1
ds-1770-H/Medium/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.002669834503621766,0.0006518756801431829,0.009886688355243567,0.0953397597803475,0.011431503476518574,0.011372046940254442,0.010972267750537756,1.692033477642367,0.05167044129501669,0.05567830310136332,0.010653557761757698,0.009745741817032165,['Application Usage'],1
ds-2656-H/Medium/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,2.0509908040364584,0.1162083519829644,0.2609296586778429,0.5836568249886384,0.9494305080837674,0.4928871154785156,0.7750148349338107,7.272480126964679,1.4321280683082984,2.947437658172882,0.5370147538758453,0.4389802683658256,['Application Usage'],1
ds-1166-5T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.15970640182495116,0.0007451328759392103,0.01321886976559957,0.13288590624546534,0.014484394590059917,0.014320708314577739,0.01411687930425008,1.4548000853346574,0.399632833767386,0.40949838036063474,0.013545197746094079,0.011093139370421843,['Infrastructure'],64
ds-775-5T/Short/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,86.52588704427083,1.5019330342610677,0.6450766245524089,1.0087379025182204,14.030546061197917,0.6935695012410482,0.9549860000610352,14.4549463176011,9.30192921088259,13.363905028677312,0.9267693347582642,0.8242546746653855,['Infrastructure'],1
ds-1741-H/Medium/medium,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,80.26248372395834,1.156930669148763,0.5418649037679036,1.7863982419291384,2.6852203369140626,0.6250656763712565,0.7386488596598307,22.356430324181453,8.958933180014144,16.058475151055244,0.9712678862029511,0.8655231045220129,['Infrastructure'],1
ds-431-10S/Short/long,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.0024863126542833116,7.183764819745664e-05,0.0070446720829716435,0.0834598833402953,0.0036462112709327982,0.0036461738303855615,0.0036556335731788916,2.045643416255367,0.04986293868479185,0.026270108980429436,0.003711460018851603,0.003408924520974295,['Infrastructure'],3
ds-1158-T/Short/short,toto,ds-data-science-us1-prod/ray/foundation-models/TOTO/base-no-dual-softmax-no-tsmixup-1746214361/TorchTrainer_37d72_00000_0_2025-05-02_19-32-43/checkpoint_000026,2048,256,0.6678619384765625,0.31375328699747723,0.14763978322347004,0.2494962248692962,5.464903259277344,0.5659619649251302,0.8337744394938151,2.10159827544684,0.8172282046506731,3.6134035636207336,0.652794550892817,0.5395201697084889,['Application Usage'],1
