,abs_error,mean_wQuantileLoss,MASE
0,1875483.9381103516,0.024342533816530856,0.4886599270038066
1,1367150.2510986328,0.017884365078145996,0.3866525929343015
2,977571.3737792969,0.013580033883041763,0.29696489524146114
3,1408799.3963623047,0.019468507777644674,0.47918464026425694
4,1943289.2864990234,0.02544249362140304,0.5117233017765352
5,1054164.8000488281,0.015695939661844984,0.4947687946665753
6,1943745.912475586,0.02821920489845458,0.8218057291897819
7,1465026.0297851562,0.020503018383279684,0.5767315789728403
8,1451361.6025390625,0.018612544607282778,0.42745562853563146
9,1083677.031616211,0.01557901292061311,0.42887028635863805
