,abs_error,mean_wQuantileLoss,MASE
0,374819.3076171875,0.015970436713183753,0.3338533345992301
1,392121.89453125,0.017211577456690122,0.4585970317682602
2,291844.1561279297,0.01658464576177248,0.3520231325073344
3,300338.04095458984,0.013326415357931332,0.3341073027804265
4,299100.52404785156,0.014424370620571756,0.28620640515797835
5,379366.8643798828,0.018162379771784264,0.47942549279092755
6,236055.88989257812,0.012887246208836106,0.3197963887292739
7,272608.32751464844,0.01213186272858744,0.23187757437809173
8,279648.77838134766,0.013197619019532562,0.3204107792930876
9,344068.6032714844,0.019480366200881408,0.5298519647678587
