dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ds-1620-D/Long/short,toto_2.0_22m,1.0787437654484464,1.0787437654484464,0.5700039103879767,1.4238476902624737,2.977154506532486,0.8484906623778856,15.845070474195522,1.0386259025503102,1.091206295735574,0.5988603346806358,0.498952957761532,Database,59
ds-1621-D/Long/short,toto_2.0_22m,1.0685912272135416,1.0685912272135416,0.4292580159505208,0.5359219713143949,0.9027215983072916,0.8427037632187055,6.864033396439998,1.033726862964072,1.9135511428944516,0.7946075471652636,0.652590682657555,Application Usage,100
ds-1622-D/Long/short,toto_2.0_22m,0.540137687562004,0.540137687562004,0.2623014904203869,0.7268938469453865,0.5732329837859623,0.5047332916524108,7.689402315995281,0.7349406013835431,1.783206611601664,0.6364293264926132,0.5320627791545542,"Networking, Application Usage",21
ds-1625-D/Long/short,toto_2.0_22m,1.6787826538085937,1.6787826538085937,0.8380050659179688,1.0295057150614109,2.659734344482422,1.1111434610341158,11.03941504779396,1.2956784530926622,1.2978785185185822,0.8394280007270422,0.6783459768804713,Application Usage,8
ds-1626-D/Long/short,toto_2.0_22m,0.0279603858788808,0.0279603858788808,0.0358989795049031,0.1911948720348127,0.0926298777262369,0.1201734009495277,7.318405709016163,0.1672135935828209,1.3746641932190038,0.2951257768050457,0.3128055490529383,Infrastructure,1
ds-1627-H/Medium/short,toto_2.0_22m,4.934932652152687e-07,4.934932652152687e-07,0.0005621300078928,0.0017057020815966,0.0014299759641289,0.0014299209491621,0.0232276150971362,0.0007024907580995,0.0017870068586216,0.0014299550107379,0.0014163796347904,Infrastructure,1
ds-1629-D/Long/short,toto_2.0_22m,1.063404011276533,1.063404011276533,0.6674274180670204,2.733862210149318,1.6789662870970912,0.7931510795251865,23.184052303613917,1.031214823049268,0.8697541320135604,0.5629261155948287,0.453684742317979,Infrastructure,53
ds-1630-D/Long/short,toto_2.0_22m,0.3368755022684733,0.3368755022684733,0.4195064544677734,1.54847075821825,1.1641400655110676,1.0072494855795646,15.370820215085278,0.5804097709967272,1.1668118205130058,0.8433439861184887,0.7641812346671475,Infrastructure,1
ds-1633-D/Long/short,toto_2.0_22m,1.4485897064208983,1.4485897064208983,0.9416877746582032,3.211065975766091,1.014136505126953,1.8288315402267383,24.780826107427103,1.203573722885681,1.304117973037384,1.020354572860666,0.8515696345164855,Infrastructure,1
ds-1640-D/Long/short,toto_2.0_22m,0.3637466748555501,0.3637466748555501,0.4847183227539062,1.549642257777545,0.5139946619669596,0.3254496425159275,22.71891169951235,0.6031141474510029,0.3916104396984405,0.3147343770757241,0.3149050397511911,Infrastructure,2
ds-1641-30T/Short/short,toto_2.0_22m,4.442170705579764e-21,4.442170705579764e-21,3.6131256011786817e-11,,0.0,0.8666666666666667,,6.664961144357679e-11,1.1761696137101788e-10,6.376104002080027e-11,5.252486950720557e-11,Application Usage,30
ds-1642-30T/Short/short,toto_2.0_22m,4.442170705579764e-21,4.442170705579764e-21,3.6131256011786817e-11,,0.0,0.8666666666666667,,6.664961144357679e-11,1.1761696137101788e-10,6.376104002080027e-11,5.252486950720557e-11,Application Usage,30
ds-1643-30T/Short/short,toto_2.0_22m,2.7336435111260084e-21,2.7336435111260084e-21,2.2234619084176505e-11,,0.0,0.5333333333333333,,5.228425681910386e-11,7.129671384423254e-11,3.031993511478614e-11,2.497686102440544e-11,Application Usage,30
ds-1646-D/Long/short,toto_2.0_22m,0.8960530598958333,0.8960530598958333,0.8133159637451172,2.135620688920784,0.7841699600219727,0.8713270277837251,22.36567834248739,0.9466007922539644,0.7540277844498443,0.6478579346423023,0.5443435943991807,Infrastructure,1
