,abs_error,mean_wQuantileLoss,MASE
0,1829915.9453125,0.023284283841762607,0.4486661921838051
1,1775794.826171875,0.022933696142205813,0.47757189430279173
2,1188483.9833984375,0.015974756843314494,0.3288585901468706
3,1545893.234375,0.021110789274201784,0.5066213055673406
4,2112466.3828125,0.028508092010264552,0.5537382895436481
5,1138273.44921875,0.016956152218776492,0.512225276488067
6,2031730.595703125,0.02891571585674427,0.8159073490305917
7,1852588.4765625,0.026256816228110116,0.7369541476769687
8,1715287.865234375,0.021757812946553726,0.5340430708905329
9,1452592.5107421875,0.019728818907419135,0.4822926255300642
