,abs_error,mean_wQuantileLoss,MASE
0,149623.3155517578,0.012438697930069211,0.2474396150488819
1,97331.20263671875,0.009211318470804834,0.20350644446366073
2,185756.134765625,0.016095234991387555,0.43540766258814245
3,321174.49951171875,0.028945535997929886,0.7027798204046797
4,141314.43408203125,0.015617583782647678,0.7336359123680408
5,178695.04833984375,0.019730155924521164,0.5778320264756275
6,124967.13647460938,0.011264405364785457,0.28653080956534066
7,116499.84252929688,0.01016642943257033,0.19916786350955903
8,123122.79309082031,0.012037741058137678,0.1996123910374041
9,94991.88195800781,0.009443057458674855,0.2783677626661895
