,abs_error,mean_wQuantileLoss,MASE
0,6786.93212890625,1.5145993645670697,0.43501586626746486
1,4422.923828125,0.3459059887194992,0.2777735087246175
2,5400.00390625,1.7473788903234024,0.3335887789902516
3,4126.2021484375,0.8918496148387933,0.24935341157226196
4,2373.990234375,0.4314934140680501,0.14289644844103846
5,13531.775390625,0.6762269798536149,0.9409374270626366
6,79017.921875,0.8971473726332986,5.6433971591255006
7,63075.2890625,0.6622918550883298,4.202525313188458
8,26465.625,0.2874613054321237,1.739874149274964
9,47143.75390625,1.918942270807835,2.97824442236602
