dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,dataset_size
ds-0-T/Short/short,timesfm_2_5_200m,0.4514939626057943,0.4514939626057943,0.1444867769877116,0.3075145050484951,0.697122065226237,0.2411167164958981,7.508026618215569,0.67193300455164,1.4608162741833726,0.3141215475325434,0.2862416673540382,"['Networking', 'Application Usage']",1,20
ds-0-T/Short/medium,timesfm_2_5_200m,0.2297493775685628,0.2297493775685628,0.0906712849934895,0.1904318687204284,0.420314089457194,0.1627173711213814,5.042519234093275,0.4793217891652359,1.0370271249303062,0.196170055515921,0.1841086736251855,"['Networking', 'Application Usage']",1,4
ds-0-T/Short/long,timesfm_2_5_200m,0.1998481609203197,0.1998481609203197,0.0818222116540979,0.1704195718753247,0.3450429845739294,0.1514438435432286,3.732207850310986,0.4470438020153279,0.9654775456556478,0.1767108899212673,0.160665889807536,"['Networking', 'Application Usage']",1,3
ds-1-T/Short/short,timesfm_2_5_200m,0.0009784539819866,0.0009784539819866,0.0024644247673097,0.0060898285430858,0.0084967546992831,0.0083486828194038,0.1866400192136,0.0312802490716856,0.0992661126802993,0.0078207135142451,0.0081856664131544,['Infrastructure'],35,700
ds-1-T/Short/medium,timesfm_2_5_200m,0.018412005106608,0.018412005106608,0.0191406377156575,0.0477836057647537,0.0738458930121527,0.2086334190709749,0.989339499108327,0.1356908438569385,0.426571803873343,0.0601724930405956,0.0584423099781113,['Infrastructure'],35,140
ds-1-T/Short/long,timesfm_2_5_200m,0.1985208953373015,0.1985208953373015,0.0360523978742972,0.1958079488401438,0.0991346571180555,0.2789667287767632,6.630299848638685,0.4455568373813846,1.3692067893643238,0.1107898786436941,0.1070475547151766,['Infrastructure'],35,105
ds-2-5T/Short/short,timesfm_2_5_200m,13.624720779923727,13.624720779923727,0.2647381003523048,0.2806563711487039,0.7773014162922953,0.2290104683186588,5.272748342388098,3.69116794252493,2.682889434562662,0.1924223073620257,0.1781338531120889,['Database'],91,1820
ds-2-5T/Short/medium,timesfm_2_5_200m,35.104705832904074,35.104705832904074,0.7376446063701924,0.9024160509673328,2.408155817164606,0.6347415917687056,11.906784927038457,5.924922432648724,5.137865193681712,0.6396570742415919,0.5369309945812643,['Database'],91,364
ds-2-5T/Short/long,timesfm_2_5_200m,27.268576090792887,27.268576090792887,0.7593381155881156,1.1090151718779844,2.538812834662444,0.7967176350223203,16.830188032425102,5.221932218134671,4.673897859511498,0.6796466604387584,0.5902779205955302,['Database'],91,273
ds-3-10S/Short/short,timesfm_2_5_200m,0.4870787217881944,0.4870787217881944,0.1847154806117819,0.3670607622067985,0.6843857890427715,0.2109133019249793,5.652944892320133,0.6979102533909317,0.3240883041912159,0.0857762535777005,0.073156183257737,['Infrastructure'],33,660
