,abs_error,mean_wQuantileLoss,MASE
0,7550.49755859375,1.9931972054588922,0.4839574308121698
1,4088.96337890625,0.4584603501011853,0.2567997435503555
2,8109.490234375,2.9162079946635373,0.5009690719644608
3,7576.623046875,1.6733086855254633,0.4578682131826058
4,4724.9033203125,0.9810810710638166,0.28440382522368673
5,15456.880859375,0.6923452692940121,1.0748004076619748
6,77698.578125,0.8210403736477442,5.549170677411159
7,59689.46484375,0.5729658493943064,3.9769375719859688
8,40818.94140625,0.40095088138634405,2.6834741652050096
9,25886.58984375,0.9955053820305333,1.6353511425827367
